price,age,km,fueltype,hp,metcolor,automatic,cc,doors,weight
13500,23,560,1,9,1,0,2000,7,1165
13750,23,958,1,9,1,0,2000,1,1165
13950,24,495,1,9,0,0,2000,1,1165
14950,26,579,1,9,0,0,2000,1,1165
13750,30,453,1,9,0,0,2000,1,1170
12950,32,775,1,9,0,0,2000,1,1170
16900,27,1255,1,12,0,0,2000,1,1245
18600,30,1020,3,9,1,0,2000,1,1245
21500,27,262,2,3,0,0,1800,1,1185
12950,23,932,1,12,0,0,1900,1,1105
20950,25,375,2,3,0,0,1800,1,1185
19950,22,512,2,3,0,0,1800,1,1185
19600,25,384,2,3,0,0,1800,1,1185
21500,31,298,2,3,1,0,1800,1,1185
22500,32,408,2,3,1,0,1800,1,1185
22000,28,255,2,12,0,0,1800,1,1185
22750,30,406,2,3,1,0,1800,1,1185
17950,24,283,2,1,1,0,1600,1,1105
16750,24,320,2,1,0,0,1600,1,1065
16950,30,834,2,1,1,0,1600,1,1105
15950,30,887,2,1,1,0,1600,1,1105
16950,29,518,3,1,0,1,1600,1,1170
15950,28,701,2,1,1,0,1600,1,1120
16950,28,385,2,1,1,0,1600,1,1120
16250,29,321,2,1,1,0,1600,1,1120
15950,25,340,2,1,1,0,1600,1,1120
17495,27,410,3,1,1,0,1600,1,1120
15750,29,489,2,1,1,0,1600,1,1120
16950,28,520,2,1,0,0,1600,1,1120
17950,30,69,3,1,0,0,1600,1,1120
12950,29,1233,2,10,1,0,1400,1,1100
15750,22,417,2,10,1,0,1400,1,1100
15950,27,354,2,10,1,0,1400,1,1100
14950,0,389,2,10,1,0,1400,1,1100
15500,22,485,2,10,1,0,1400,1,1100
15750,26,505,2,10,0,0,1400,1,1100
15950,25,313,2,10,0,0,1400,1,1100
14950,23,1,2,10,1,0,1400,1,1100
15750,32,318,2,10,1,0,1400,1,1100
14750,27,334,2,10,0,0,1400,1,1100
13950,22,596,2,10,0,0,1400,1,1100
16750,27,519,2,10,1,0,1400,1,1100
13950,22,559,2,10,0,0,1400,1,1100
16950,27,65,1,9,0,0,2000,3,1255
16950,22,4,3,9,0,0,2000,3,1255
19000,23,1115,1,9,0,0,2000,3,1270
17950,27,1061,1,9,1,0,2000,3,1255
15800,22,1005,2,10,1,0,1400,3,1110
17950,22,950,1,9,1,0,2000,3,1255
